Date,USD_INR
2025-01-02,85.78569793701172
2025-01-03,85.80400085449219
2025-01-06,85.75900268554688
2025-01-07,85.68070220947266
2025-01-08,85.80650329589844
2025-01-09,85.90750122070312
2025-01-10,85.91999816894531
2025-01-13,86.18800354003906
2025-01-14,86.65059661865234
2025-01-15,86.535400390625
2025-01-16,86.43099975585938
2025-01-17,86.6061019897461
2025-01-20,86.56900024414062
2025-01-21,86.21109771728516
2025-01-22,86.45189666748047
2025-01-23,86.47270202636719
2025-01-24,86.44020080566406
2025-01-27,86.2030029296875
2025-01-28,86.46839904785156
2025-01-29,86.58460235595703
2025-01-30,86.6406021118164
2025-01-31,86.64700317382812
2025-02-03,86.55400085449219
2025-02-04,86.94339752197266
2025-02-05,87.13009643554688
2025-02-06,87.33409881591797
2025-02-07,87.58830261230469
2025-02-10,87.51309967041016
2025-02-11,87.49009704589844
2025-02-12,86.81120300292969
2025-02-13,86.8740005493164
2025-02-14,86.75409698486328
2025-02-17,86.43460083007812
2025-02-18,86.85479736328125
2025-02-19,86.88719940185547
2025-02-20,86.872802734375
2025-02-21,86.45120239257812
2025-02-24,86.52940368652344
2025-02-25,86.69010162353516
2025-02-26,87.0811996459961
2025-02-27,87.16220092773438
2025-02-28,87.3270034790039
2025-03-03,87.46399688720703
2025-03-04,87.32959747314453
2025-03-05,87.21700286865234
2025-03-06,86.88929748535156
2025-03-07,87.12879943847656
2025-03-10,87.07379913330078
2025-03-11,87.3551025390625
2025-03-12,87.20010375976562
2025-03-13,87.3405990600586
2025-03-14,86.9220962524414
2025-03-17,86.93900299072266
2025-03-18,86.91639709472656
2025-03-19,86.57610321044922
2025-03-20,86.33709716796875
2025-03-21,86.33609771728516
2025-03-24,85.98699951171875
2025-03-25,85.53209686279297
2025-03-26,85.59040069580078
2025-03-27,86.09539794921875
2025-03-28,85.69490051269531
2025-03-31,85.53880310058594
2025-04-01,85.46810150146484
2025-04-02,85.61009979248047
2025-04-03,85.65119934082031
2025-04-04,85.28289794921875
2025-04-07,85.529296875
2025-04-08,86.0270004272461
2025-04-09,86.435302734375
2025-04-10,86.20929718017578
2025-04-11,86.2603988647461
2025-04-14,86.19300079345703
2025-04-15,86.0447998046875
2025-04-16,85.72669982910156
2025-04-17,85.62049865722656
2025-04-22,85.15889739990234
2025-04-23,85.2323989868164
2025-04-24,85.4999008178711
2025-04-25,85.2573013305664
2025-04-28,85.38490295410156
2025-04-29,85.1603012084961
2025-04-30,85.1707992553711
2025-05-01,84.53119659423828
2025-05-02,84.69670104980469
2025-05-05,84.52629852294922
2025-05-06,84.2208023071289
2025-05-07,84.79319763183594
2025-05-08,84.81719970703125
2025-05-09,86.08219909667969
2025-05-12,85.4083023071289
2025-05-13,84.9656982421875
2025-05-14,85.060302734375
2025-05-15,85.48760223388672
2025-05-16,85.44490051269531
2025-05-19,85.50029754638672
2025-05-20,85.37210083007812
2025-05-21,85.53610229492188
2025-05-22,85.60030364990234
2025-05-23,85.97489929199219
2025-05-26,85.19930267333984
2025-05-27,85.158203125
2025-05-28,85.3604965209961
2025-05-29,85.38590240478516
2025-05-30,85.36129760742188
2025-06-02,85.52429962158203
2025-06-03,85.36370086669922
2025-06-04,85.70880126953125
2025-06-05,85.9041976928711
2025-06-06,85.87750244140625
